t	real_E_t	imag_E_t
-6.82309852276889e-12	0	0
-6.82114515932121e-12	0	0
-6.81919179587352e-12	0	0
-6.81723843242583e-12	0	0
-6.81528506897815e-12	0	0
-6.81333170553046e-12	0	0
-6.81137834208277e-12	0	0
-6.80942497863509e-12	0	0
-6.8074716151874e-12	0	0
-6.80551825173971e-12	0	0
-6.80356488829203e-12	0	0
-6.80161152484434e-12	0	0
-6.79965816139666e-12	0	0
-6.79770479794897e-12	0	0
-6.79575143450128e-12	0	0
-6.7937980710536e-12	0	0
-6.79184470760591e-12	0	0
-6.78989134415822e-12	0	0
-6.78793798071054e-12	0	0
-6.78598461726285e-12	0	0
-6.78403125381516e-12	0	0
-6.78207789036748e-12	0	0
-6.78012452691979e-12	0	0
-6.7781711634721e-12	0	0
-6.77621780002442e-12	0	0
-6.77426443657673e-12	0	0
-6.77231107312904e-12	0	0
-6.77035770968136e-12	0	0
-6.76840434623367e-12	0	0
-6.76645098278598e-12	0	0
-6.7644976193383e-12	0	0
-6.76254425589061e-12	0	0
-6.76059089244293e-12	0	0
-6.75863752899524e-12	0	0
-6.75668416554755e-12	0	0
-6.75473080209987e-12	0	0
-6.75277743865218e-12	0	0
-6.75082407520449e-12	0	0
-6.74887071175681e-12	0	0
-6.74691734830912e-12	0	0
-6.74496398486143e-12	0	0
-6.74301062141375e-12	0	0
-6.74105725796606e-12	0	0
-6.73910389451837e-12	0	0
-6.73715053107069e-12	0	0
-6.735197167623e-12	0	0
-6.73324380417531e-12	0	0
-6.73129044072763e-12	0	0
-6.72933707727994e-12	0	0
-6.72738371383225e-12	0	0
-6.72543035038457e-12	0	0
-6.72347698693688e-12	0	0
-6.7215236234892e-12	0	0
-6.71957026004151e-12	0	0
-6.71761689659382e-12	0	0
-6.71566353314614e-12	0	0
-6.71371016969845e-12	0	0
-6.71175680625076e-12	0	0
-6.70980344280308e-12	0	0
-6.70785007935539e-12	0	0
-6.7058967159077e-12	0	0
-6.70394335246002e-12	0	0
-6.70198998901233e-12	0	0
-6.70003662556464e-12	0	0
-6.69808326211696e-12	0	0
-6.69612989866927e-12	0	0
-6.69417653522159e-12	0	0
-6.6922231717739e-12	0	0
-6.69026980832621e-12	0	0
-6.68831644487853e-12	0	0
-6.68636308143084e-12	0	0
-6.68440971798315e-12	0	0
-6.68245635453547e-12	0	0
-6.68050299108778e-12	0	0
-6.67854962764009e-12	0	0
-6.67659626419241e-12	0	0
-6.67464290074472e-12	0	0
-6.67268953729703e-12	0	0
-6.67073617384935e-12	0	0
-6.66878281040166e-12	0	0
-6.66682944695397e-12	0	0
-6.66487608350629e-12	0	0
-6.6629227200586e-12	0	0
-6.66096935661091e-12	0	0
-6.65901599316323e-12	0	0
-6.65706262971554e-12	0	0
-6.65510926626786e-12	0	0
-6.65315590282017e-12	0	0
-6.65120253937248e-12	0	0
-6.6492491759248e-12	0	0
-6.64729581247711e-12	0	0
-6.64534244902942e-12	0	0
-6.64338908558174e-12	0	0
-6.64143572213405e-12	0	0
-6.63948235868636e-12	0	0
-6.63752899523868e-12	0	0
-6.63557563179099e-12	0	0
-6.6336222683433e-12	0	0
-6.63166890489562e-12	0	0
-6.62971554144793e-12	0	0
-6.62776217800024e-12	0	0
-6.62580881455256e-12	0	0
-6.62385545110487e-12	0	0
-6.62190208765718e-12	0	0
-6.6199487242095e-12	0	0
-6.61799536076181e-12	0	0
-6.61604199731413e-12	0	0
-6.61408863386644e-12	0	0
-6.61213527041875e-12	0	0
-6.61018190697107e-12	0	0
-6.60822854352338e-12	0	0
-6.60627518007569e-12	0	0
-6.60432181662801e-12	0	0
-6.60236845318032e-12	0	0
-6.60041508973263e-12	0	0
-6.59846172628495e-12	0	0
-6.59650836283726e-12	0	0
-6.59455499938957e-12	0	0
-6.59260163594189e-12	0	0
-6.5906482724942e-12	0	0
-6.58869490904651e-12	0	0
-6.58674154559883e-12	0	0
-6.58478818215114e-12	0	0
-6.58283481870345e-12	0	0
-6.58088145525577e-12	0	0
-6.57892809180808e-12	0	0
-6.5769747283604e-12	0	0
-6.57502136491271e-12	0	0
-6.57306800146502e-12	0	0
-6.57111463801734e-12	0	0
-6.56916127456965e-12	0	0
-6.56720791112196e-12	0	0
-6.56525454767428e-12	0	0
-6.56330118422659e-12	0	0
-6.5613478207789e-12	0	0
-6.55939445733122e-12	0	0
-6.55744109388353e-12	0	0
-6.55548773043584e-12	0	0
-6.55353436698816e-12	0	0
-6.55158100354047e-12	0	0
-6.54962764009279e-12	0	0
-6.5476742766451e-12	0	0
-6.54572091319741e-12	0	0
-6.54376754974973e-12	0	0
-6.54181418630204e-12	0	0
-6.53986082285435e-12	0	0
-6.53790745940667e-12	0	0
-6.53595409595898e-12	0	0
-6.53400073251129e-12	0	0
-6.53204736906361e-12	0	0
-6.53009400561592e-12	0	0
-6.52814064216823e-12	0	0
-6.52618727872055e-12	0	0
-6.52423391527286e-12	0	0
-6.52228055182517e-12	0	0
-6.52032718837749e-12	0	0
-6.5183738249298e-12	0	0
-6.51642046148211e-12	0	0
-6.51446709803443e-12	0	0
-6.51251373458674e-12	0	0
-6.51056037113906e-12	0	0
-6.50860700769137e-12	0	0
-6.50665364424368e-12	0	0
-6.504700280796e-12	0	0
-6.50274691734831e-12	0	0
-6.50079355390062e-12	0	0
-6.49884019045294e-12	0	0
-6.49688682700525e-12	0	0
-6.49493346355756e-12	0	0
-6.49298010010988e-12	0	0
-6.49102673666219e-12	0	0
-6.4890733732145e-12	0	0
-6.48712000976682e-12	0	0
-6.48516664631913e-12	0	0
-6.48321328287144e-12	0	0
-6.48125991942376e-12	0	0
-6.47930655597607e-12	0	0
-6.47735319252838e-12	0	0
-6.4753998290807e-12	0	0
-6.47344646563301e-12	0	0
-6.47149310218533e-12	0	0
-6.46953973873764e-12	0	0
-6.46758637528995e-12	0	0
-6.46563301184227e-12	0	0
-6.46367964839458e-12	0	0
-6.46172628494689e-12	0	0
-6.45977292149921e-12	0	0
-6.45781955805152e-12	0	0
-6.45586619460383e-12	0	0
-6.45391283115615e-12	0	0
-6.45195946770846e-12	0	0
-6.45000610426077e-12	0	0
-6.44805274081309e-12	0	0
-6.4460993773654e-12	0	0
-6.44414601391771e-12	0	0
-6.44219265047003e-12	0	0
-6.44023928702234e-12	0	0
-6.43828592357466e-12	0	0
-6.43633256012697e-12	0	0
-6.43437919667928e-12	0	0
-6.4324258332316e-12	0	0
-6.43047246978391e-12	0	0
-6.42851910633622e-12	0	0
-6.42656574288854e-12	0	0
-6.42461237944085e-12	0	0
-6.42265901599316e-12	0	0
-6.42070565254548e-12	0	0
-6.41875228909779e-12	0	0
-6.4167989256501e-12	0	0
-6.41484556220242e-12	0	0
-6.41289219875473e-12	0	0
-6.41093883530704e-12	0	0
-6.40898547185936e-12	0	0
-6.40703210841167e-12	0	0
-6.40507874496399e-12	0	0
-6.4031253815163e-12	0	0
-6.40117201806861e-12	0	0
-6.39921865462093e-12	0	0
-6.39726529117324e-12	0	0
-6.39531192772555e-12	0	0
-6.39335856427787e-12	0	0
-6.39140520083018e-12	0	0
-6.38945183738249e-12	0	0
-6.38749847393481e-12	0	0
-6.38554511048712e-12	0	0
-6.38359174703943e-12	0	0
-6.38163838359175e-12	0	0
-6.37968502014406e-12	0	0
-6.37773165669637e-12	0	0
-6.37577829324869e-12	0	0
-6.373824929801e-12	0	0
-6.37187156635331e-12	0	0
-6.36991820290563e-12	0	0
-6.36796483945794e-12	0	0
-6.36601147601026e-12	0	0
-6.36405811256257e-12	0	0
-6.36210474911488e-12	0	0
-6.3601513856672e-12	0	0
-6.35819802221951e-12	0	0
-6.35624465877182e-12	0	0
-6.35429129532414e-12	0	0
-6.35233793187645e-12	0	0
-6.35038456842876e-12	0	0
-6.34843120498108e-12	0	0
-6.34647784153339e-12	0	0
-6.3445244780857e-12	0	0
-6.34257111463802e-12	0	0
-6.34061775119033e-12	0	0
-6.33866438774264e-12	0	0
-6.33671102429496e-12	0	0
-6.33475766084727e-12	0	0
-6.33280429739958e-12	0	0
-6.3308509339519e-12	0	0
-6.32889757050421e-12	0	0
-6.32694420705653e-12	0	0
-6.32499084360884e-12	0	0
-6.32303748016115e-12	0	0
-6.32108411671347e-12	0	0
-6.31913075326578e-12	0	0
-6.31717738981809e-12	0	0
-6.31522402637041e-12	0	0
-6.31327066292272e-12	0	0
-6.31131729947503e-12	0	0
-6.30936393602735e-12	0	0
-6.30741057257966e-12	0	0
-6.30545720913197e-12	0	0
-6.30350384568429e-12	0	0
-6.3015504822366e-12	0	0
