t_laura        	Et_real        	Et_imag        	Et_abs         
-3.060000000000000e-12	7.248477577935781e-04	2.901170846087578e-03	2.990350573121300e-03
-3.040000000000000e-12	6.842871156295611e-04	3.087848731509731e-03	3.162761237479504e-03
-3.020000000000000e-12	1.905503463864623e-03	2.408082583548942e-03	3.070798785331240e-03
-3.000000000000000e-12	1.723866407899846e-03	3.605213482374701e-03	3.996158110708564e-03
-2.980000000000000e-12	2.069529957678441e-03	4.229682790127027e-03	4.708839639531726e-03
-2.960000000000000e-12	4.542758932836084e-03	5.256539544384735e-04	4.573070172398281e-03
-2.940000000000000e-12	5.676114635745308e-03	-3.014011101123584e-03	6.426705242643254e-03
-2.920000000000000e-12	7.177102534328879e-03	-4.691024608786706e-03	8.574177084042088e-03
-2.900000000000000e-12	9.603443411548044e-03	-4.496555384499657e-03	1.060401507376703e-02
-2.880000000000000e-12	8.664150024309026e-03	-3.839585789077384e-03	9.476809308803206e-03
-2.860000000000000e-12	4.076309564635224e-03	-1.674980487798480e-03	4.407023859844901e-03
-2.840000000000000e-12	-1.538210182749329e-03	3.745763783852066e-03	4.049300790350288e-03
-2.820000000000000e-12	-7.189611422714067e-03	7.534864403824277e-03	1.041463844757170e-02
-2.800000000000000e-12	-1.047503657996629e-02	1.083494277308123e-02	1.507057982453154e-02
-2.780000000000000e-12	-9.926851575215515e-03	1.494155308733566e-02	1.793857270961178e-02
-2.760000000000000e-12	-7.033000137879347e-03	1.919564719574922e-02	2.044348214475914e-02
-2.740000000000000e-12	-3.833065528126738e-03	2.058652338190523e-02	2.094032798923274e-02
-2.720000000000000e-12	-9.024414486733019e-04	1.813465998598079e-02	1.815710035703433e-02
-2.700000000000000e-12	6.775093647025848e-03	1.601969618491290e-02	1.739346313368568e-02
-2.680000000000000e-12	1.344436432896943e-02	1.649192011802550e-02	2.127755534335183e-02
-2.660000000000000e-12	1.464809463858974e-02	1.714553640539396e-02	2.255074489168309e-02
-2.640000000000000e-12	1.092705849033059e-02	1.672463914744962e-02	1.997784177191095e-02
-2.620000000000000e-12	1.615954037281231e-03	5.641134474894819e-03	5.868023995729086e-03
-2.600000000000000e-12	-7.801614936812810e-03	-8.603065681018724e-03	1.161369599801127e-02
-2.580000000000000e-12	-1.028820935806096e-02	-1.124336331172537e-02	1.524009417145265e-02
-2.560000000000000e-12	-8.690996786224328e-03	2.385484876402290e-04	8.694269981954611e-03
-2.540000000000000e-12	-8.353692479607135e-03	1.806060824681620e-02	1.989898862477212e-02
-2.520000000000000e-12	1.525533387871927e-03	3.074804193035503e-02	3.078586257794936e-02
-2.500000000000000e-12	1.243300019950400e-02	3.393806922864213e-02	3.614376899174977e-02
-2.480000000000000e-12	1.067109261535616e-02	2.389508513324219e-02	2.616958752312311e-02
-2.460000000000000e-12	6.438837039485489e-03	6.240618607174682e-03	8.966824578481788e-03
-2.440000000000000e-12	5.424935217315113e-03	2.263216612840130e-03	5.878101015523749e-03
-2.420000000000000e-12	4.663808495918929e-03	4.991874821028200e-03	6.831538912677063e-03
-2.400000000000000e-12	4.389981556707243e-03	4.519469538605162e-03	6.300598620655795e-03
-2.380000000000000e-12	7.743478011820523e-03	8.249272970338738e-03	1.131423688362186e-02
-2.360000000000000e-12	1.420862738417930e-02	2.007131203040099e-02	2.459151599158070e-02
-2.340000000000000e-12	2.100626328432987e-02	3.283031923966780e-02	3.897554308215713e-02
-2.320000000000000e-12	2.609758006125765e-02	3.419553416484922e-02	4.301648802346750e-02
-2.300000000000000e-12	1.836341937759079e-02	3.001494083791238e-02	3.518681350649213e-02
-2.280000000000000e-12	1.174247023545321e-02	2.971281779933032e-02	3.194897727325094e-02
-2.260000000000000e-12	7.505773067633960e-03	3.527854676541895e-02	3.606816451141742e-02
-2.240000000000000e-12	-4.446876320639823e-03	3.068125375608383e-02	3.100183931730947e-02
-2.220000000000000e-12	-1.616261692829075e-02	3.029057059459601e-02	3.433291209491084e-02
-2.200000000000000e-12	-2.492583535050846e-02	3.267632227776730e-02	4.109792337236966e-02
-2.180000000000000e-12	-3.473443167575638e-02	2.207247251914051e-02	4.115428029921069e-02
-2.160000000000000e-12	-4.940374224235665e-02	2.945299283784282e-02	5.751702821474033e-02
-2.140000000000000e-12	-4.170865672611383e-02	7.525499583845338e-02	8.604026060247863e-02
