# 2024-10-25T17:49:23+02:00
# Header Rows: 14
# File Format: 2
# Device: waveScan USB
# Serial: S10794
# Firmware: 4.3.4
# Software: 2.0.0.60
# SVN Revision: 541
# SpectrumCenter of Gravity: 1036.5 nm
# SpectrumFWHM: 23.8 nm
# SpectrumPeak: 1024.1 nm
# ==========
# Wavelength	Intensity
# ==========
1049.536	970
1049.707	912
1049.878	888
1050.049	905
1050.220	926
1050.391	925
1050.562	1182
1050.733	1098
1050.904	1185
1051.075	1540
1051.246	1270
1051.417	1555
1051.588	1478
1051.759	1694
1051.930	1921
1052.101	2154
1052.272	1891
1052.443	1958
1052.614	2179
1052.785	2255
1052.956	2268
1053.127	2232
1053.298	2355
1053.468	2459
1053.639	2567
1053.810	2487
1053.981	2597
1054.152	2490
1054.323	2628
1054.494	2611
1054.665	2602
1054.836	2808
1055.007	2729
1055.178	2629
1055.349	2745
1055.520	2741
1055.691	2758
1055.862	2673
1056.033	2532
1056.204	2701
1056.375	2679
1056.546	2571
1056.717	2504
1056.888	2543
1057.059	2618
1057.230	2596
1057.401	2545
1057.572	2554
1057.743	2392
1057.914	2460
1058.085	2316
1058.256	2316
1058.427	2208
1058.598	2272
1058.769	2185
1058.940	2206
1059.111	2200
1059.282	2104
1059.453	2147
1059.624	2145
1059.795	2008
1059.966	2001
1060.137	2031
1060.308	2047
1060.479	1994
1060.650	2033
1060.821	1979
1060.992	1977
1061.163	2000
1061.334	2046
1061.505	1992
1061.676	1971
1061.847	1990
1062.018	2051
1062.189	2191
1062.360	2130
1062.531	2198
1062.702	2240
1062.872	2326
1063.043	2529
1063.214	2487
1063.385	2581
1063.556	2537
1063.727	2701
1063.898	2682
1064.069	2831
1064.240	2911
1064.411	2828
1064.582	2873
1064.753	2867
1064.924	2853
1065.095	2927
1065.266	2913
1065.437	3021
1065.608	2928
1065.779	3085
1065.950	2954
1066.121	3003
1066.292	2987
1066.463	3112
1066.634	3084
1066.805	3058
1066.976	3076
1067.147	2904
1067.318	2876
1067.489	2853
1067.660	2737
1067.831	2719
1068.002	2507
1068.173	2485
1068.344	2503
1068.515	2314
1068.686	2354
1068.857	2274
1069.028	2304
1069.199	2148
1069.370	2162
1069.541	2062
1069.712	1992
1069.883	1804
1070.054	1923
1070.225	1809
1070.396	1824
1070.567	1708
1070.738	1679
1070.909	1644
1071.080	1562
1071.251	1515
1071.422	1523
1071.593	1514
1071.764	1436
1071.935	1263
1072.106	1335
1072.277	1283
1072.447	1231
1072.618	1320
1072.789	1157
1072.960	1084
1073.131	1183
1073.302	1089
1073.473	1023
1073.644	936
1073.815	845
1073.986	969
1074.157	839
1074.328	842
1074.499	700
1074.670	786
1074.841	658
1075.012	660
1075.183	576
1075.354	596
1075.525	585
1075.696	556
1075.867	532
1076.038	535
1076.209	561
1076.380	454
1076.551	497
1076.722	440
1076.893	441
1077.064	383
1077.235	413
1077.406	450
1077.577	405
1077.748	374
1077.919	411
1078.090	377
1078.261	369
1078.432	346
1078.603	371
1078.774	369
1078.945	357
1079.116	379
1079.287	358
1079.458	386
1079.629	362
1079.800	416
1079.971	412
1080.142	432
1080.313	405
1080.484	474
1080.655	464
1080.826	523
1080.997	523
1081.168	500
1081.339	610
1081.510	637
1081.681	591
1081.851	618
1082.022	638
1082.193	628
1082.364	680
1082.535	695
1082.706	730
1082.877	812
1083.048	862
1083.219	800
1083.390	945
1083.561	936
1083.732	990
1083.903	983
1084.074	1170
1084.245	1164
1084.416	1064
1084.587	1202
1084.758	1289
1084.929	1254
1085.100	1306
1085.271	1275
1085.442	1369
1085.613	1414
1085.784	1484
1085.955	1489
1086.126	1541
1086.297	1660
1086.468	1717
1086.639	1777
1086.810	1822
1086.981	1921
1087.152	2059
1087.323	2032
1087.494	2026
1087.665	2095
1087.836	2149
1088.007	2211
1088.178	2184
1088.349	2388
1088.520	2409
1088.691	2466
1088.862	2410
1089.033	2597
1089.204	2705
1089.375	2656
1089.546	2701
1089.717	2684
1089.888	2762
1090.059	2814
1090.230	2810
1090.401	2901
1090.572	2939
1090.743	2951
1090.914	3051
1091.085	3198
1091.255	3179
1091.426	3190
1091.597	3135
1091.768	3301
1091.939	3390
1092.110	3295
1092.281	3319
1092.452	3459
1092.623	3556
1092.794	3546
1092.965	3535
1093.136	3504
1093.307	3540
1093.478	3605
1093.649	3630
1093.820	3708
1093.991	3817
1094.162	3838
1094.333	4004
1094.504	4019
1094.675	3946
1094.846	3856
1095.017	3910
1095.188	3932
1095.359	3847
1095.530	3887
1095.701	3891
1095.872	3926
1096.043	3978
1096.214	4045
1096.385	4024
1096.556	4007
1096.727	4006
1096.898	3918
1097.069	3953
1097.240	3992
1097.411	3995
1097.582	4171
1097.753	4253
1097.924	4233
1098.095	4165
1098.266	4327
1098.437	4292
1098.608	4285
1098.779	4206
1098.950	4032
1099.121	3972
1099.292	4045
1099.463	4057
1099.634	4019
1099.805	3989
1099.976	3991
1100.147	4110
